Date;Time;Temperature (C);pH value
01/06/2022;15:45:33;22.50;6.61
01/06/2022;15:45:45;22.50;6.57
01/06/2022;15:45:55;22.50;6.58
01/06/2022;15:46:07;22.50;6.54
01/06/2022;15:46:19;22.50;6.59
01/06/2022;15:46:31;22.50;6.63
01/06/2022;15:46:43;22.50;6.53
01/06/2022;15:46:55;23.00;6.63
01/06/2022;15:47:08;23.00;6.58
01/06/2022;15:47:17;23.00;6.55
01/06/2022;15:47:29;23.00;6.65
01/06/2022;15:47:41;23.00;6.56
01/06/2022;15:47:53;23.00;6.61
01/06/2022;15:49:23;23.00;6.61
01/06/2022;15:49:35;23.00;6.61
01/06/2022;15:49:48;23.00;6.59
01/06/2022;15:49:57;23.00;6.59
01/06/2022;15:50:29;23.00;6.59
01/06/2022;15:51:29;23.00;6.65
01/06/2022;15:52:29;23.00;6.54
01/06/2022;15:53:29;23.00;6.65
01/06/2022;15:54:29;23.00;6.64
01/06/2022;15:58:33;23.00;6.63
01/06/2022;15:59:33;23.00;6.55
01/06/2022;16:00:33;23.00;6.55
01/06/2022;16:01:33;23.00;6.55
01/06/2022;16:02:33;23.00;6.66
01/06/2022;16:03:33;23.00;6.66
01/06/2022;16:04:34;23.50;6.55
01/06/2022;16:05:34;23.50;6.58
01/06/2022;16:06:34;23.50;6.57
01/06/2022;16:07:34;23.50;6.66
01/06/2022;16:08:34;23.50;6.57
01/06/2022;16:09:34;23.50;6.54
01/06/2022;16:10:34;23.50;6.57
01/06/2022;16:11:35;23.50;6.66
01/06/2022;16:12:35;24.00;6.54
01/06/2022;16:13:35;24.00;6.59
01/06/2022;16:14:35;24.00;6.55
01/06/2022;16:15:35;24.00;6.65
01/06/2022;16:16:35;24.00;6.57
01/06/2022;16:17:35;24.00;6.61
01/06/2022;16:18:36;24.00;6.56
01/06/2022;16:19:36;24.50;6.62
01/06/2022;16:20:36;24.50;6.61
01/06/2022;16:21:36;24.50;6.61
01/06/2022;16:22:36;24.50;6.56
01/06/2022;16:23:36;24.50;6.54
01/06/2022;16:24:36;24.50;6.52
01/06/2022;16:25:37;24.50;6.53
01/06/2022;16:26:37;25.00;6.63
01/06/2022;16:27:37;25.00;6.50
01/06/2022;16:28:37;25.00;6.57
01/06/2022;16:29:37;25.00;6.62
01/06/2022;16:30:37;25.00;6.57
01/06/2022;16:31:37;25.00;6.57
01/06/2022;16:32:37;25.00;6.62
01/06/2022;16:33:38;25.50;6.50
01/06/2022;16:34:38;25.50;6.55
01/06/2022;16:35:38;25.50;6.57
01/06/2022;16:36:38;25.50;6.61
01/06/2022;16:37:38;25.50;6.49
01/06/2022;16:38:38;25.50;6.54
01/06/2022;16:39:38;26.00;6.54
01/06/2022;16:40:39;26.00;6.59
01/06/2022;16:41:39;26.00;6.56
01/06/2022;16:42:39;26.00;6.47
01/06/2022;16:43:39;26.00;6.56
01/06/2022;16:44:39;26.00;6.46
01/06/2022;16:45:39;26.00;6.49
01/06/2022;16:46:39;26.00;6.57
01/06/2022;16:47:40;26.50;6.52
01/06/2022;16:48:40;26.50;6.54
01/06/2022;16:49:40;26.50;6.47
01/06/2022;16:50:40;26.50;6.46
01/06/2022;16:51:40;26.50;6.45
01/06/2022;16:52:40;26.50;6.53
01/06/2022;16:53:40;26.50;6.50
01/06/2022;16:54:41;26.50;6.50
01/06/2022;16:55:41;27.00;6.54
01/06/2022;16:56:41;27.00;6.55
01/06/2022;16:57:41;27.00;6.48
01/06/2022;16:58:41;27.00;6.45
01/06/2022;16:59:41;27.00;6.53
01/06/2022;17:00:41;27.00;6.43
01/06/2022;17:01:41;27.00;6.41
01/06/2022;17:02:42;27.00;6.44
01/06/2022;17:03:42;27.50;6.47
01/06/2022;17:04:42;27.50;6.46
01/06/2022;17:05:42;27.50;6.50
01/06/2022;17:06:42;27.50;6.49
01/06/2022;17:07:42;27.50;6.38
01/06/2022;17:08:42;27.50;6.45
01/06/2022;17:09:43;27.50;6.50
01/06/2022;17:10:43;27.50;6.49
01/06/2022;17:11:43;27.50;6.40
01/06/2022;17:12:43;27.50;6.45
01/06/2022;17:13:43;27.50;6.38
01/06/2022;17:14:43;28.00;6.43
01/06/2022;17:15:43;28.00;6.44
01/06/2022;17:16:44;28.00;6.37
01/06/2022;17:17:44;28.00;6.45
01/06/2022;17:18:44;28.00;6.39
01/06/2022;17:19:44;28.00;6.37
01/06/2022;17:20:44;28.00;6.47
01/06/2022;17:21:44;28.00;6.46
01/06/2022;17:22:44;28.00;6.38
01/06/2022;17:23:45;28.00;6.39
01/06/2022;17:24:45;28.00;6.47
01/06/2022;17:25:45;28.50;6.44
01/06/2022;17:26:45;28.50;6.35
01/06/2022;17:27:45;28.50;6.46
01/06/2022;17:28:45;28.50;6.45
01/06/2022;17:29:45;28.50;6.46
01/06/2022;17:30:45;28.50;6.35
01/06/2022;17:31:46;28.50;6.33
01/06/2022;17:32:46;28.50;6.38
01/06/2022;17:33:46;28.50;6.35
01/06/2022;17:34:46;28.50;6.40
01/06/2022;17:35:46;28.50;6.44
01/06/2022;17:36:46;28.50;6.43
01/06/2022;17:37:46;28.50;6.37
01/06/2022;17:38:47;28.50;6.38
01/06/2022;17:39:47;28.50;6.43
01/06/2022;17:40:47;28.50;6.38
01/06/2022;17:41:47;28.50;6.34
01/06/2022;17:42:47;28.50;6.33
01/06/2022;17:43:47;29.00;6.43
01/06/2022;17:44:47;29.00;6.30
01/06/2022;17:45:48;29.00;6.36
01/06/2022;17:46:48;29.00;6.38
01/06/2022;17:47:48;29.00;6.43
01/06/2022;17:48:48;29.00;6.35
01/06/2022;17:49:48;29.00;6.31
01/06/2022;17:50:48;29.00;6.30
01/06/2022;17:51:48;29.00;6.43
01/06/2022;17:52:49;29.00;6.41
01/06/2022;17:53:49;29.00;6.38
01/06/2022;17:54:49;29.00;6.37
01/06/2022;17:55:49;29.00;6.41
01/06/2022;17:56:49;29.00;6.29
01/06/2022;17:57:49;29.00;6.41
01/06/2022;17:58:49;29.00;6.34
01/06/2022;17:59:49;29.00;6.29
01/06/2022;18:00:50;29.00;6.29
01/06/2022;18:01:50;29.00;6.29
01/06/2022;18:02:50;29.00;6.39
01/06/2022;18:03:50;29.00;6.40
01/06/2022;18:04:50;29.00;6.34
01/06/2022;18:05:50;29.00;6.38
01/06/2022;18:06:50;29.00;6.29
01/06/2022;18:07:51;29.00;6.40
01/06/2022;18:08:51;29.50;6.38
01/06/2022;18:09:51;29.00;6.28
01/06/2022;18:10:51;29.50;6.34
