Date;Time;Temperature (C);pH value
01/06/2022;15:45:33;22.50;6.61
01/06/2022;15:45:45;22.50;6.57
01/06/2022;15:45:55;22.50;6.58
01/06/2022;15:46:07;22.50;6.54
01/06/2022;15:46:19;22.50;6.59
01/06/2022;15:46:31;22.50;6.63
01/06/2022;15:46:43;22.50;6.53
01/06/2022;15:46:55;23.00;6.63
01/06/2022;15:47:08;23.00;6.58
01/06/2022;15:47:17;23.00;6.55
01/06/2022;15:47:29;23.00;6.65
01/06/2022;15:47:41;23.00;6.56
01/06/2022;15:47:53;23.00;6.61
01/06/2022;15:49:23;23.00;6.61
01/06/2022;15:49:35;23.00;6.61
01/06/2022;15:49:48;23.00;6.59
01/06/2022;15:49:57;23.00;6.59
01/06/2022;15:50:29;23.00;6.59
01/06/2022;15:51:29;23.00;6.65
01/06/2022;15:52:29;23.00;6.54
01/06/2022;15:53:29;23.00;6.65
01/06/2022;15:54:29;23.00;6.64
01/06/2022;15:58:33;23.00;6.63
01/06/2022;15:59:33;23.00;6.55
01/06/2022;16:00:33;23.00;6.55
01/06/2022;16:01:33;23.00;6.55
01/06/2022;16:02:33;23.00;6.66
01/06/2022;16:03:33;23.00;6.66
01/06/2022;16:04:34;23.50;6.55
01/06/2022;16:05:34;23.50;6.58
01/06/2022;16:06:34;23.50;6.57
01/06/2022;16:07:34;23.50;6.66
01/06/2022;16:08:34;23.50;6.57
01/06/2022;16:09:34;23.50;6.54
01/06/2022;16:10:34;23.50;6.57
01/06/2022;16:11:35;23.50;6.66
01/06/2022;16:12:35;24.00;6.54
01/06/2022;16:13:35;24.00;6.59
01/06/2022;16:14:35;24.00;6.55
01/06/2022;16:15:35;24.00;6.65
01/06/2022;16:16:35;24.00;6.57
01/06/2022;16:17:35;24.00;6.61
01/06/2022;16:18:36;24.00;6.56
01/06/2022;16:19:36;24.50;6.62
01/06/2022;16:20:36;24.50;6.61
01/06/2022;16:21:36;24.50;6.61
01/06/2022;16:22:36;24.50;6.56
01/06/2022;16:23:36;24.50;6.54
01/06/2022;16:24:36;24.50;6.52
01/06/2022;16:25:37;24.50;6.53
01/06/2022;16:26:37;25.00;6.63
01/06/2022;16:27:37;25.00;6.50
01/06/2022;16:28:37;25.00;6.57
01/06/2022;16:29:37;25.00;6.62
01/06/2022;16:30:37;25.00;6.57
01/06/2022;16:31:37;25.00;6.57
01/06/2022;16:32:37;25.00;6.62
01/06/2022;16:33:38;25.50;6.50
01/06/2022;16:34:38;25.50;6.55
01/06/2022;16:35:38;25.50;6.57
01/06/2022;16:36:38;25.50;6.61
